일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2025-10-27,12081,12090,12044,12058,1788405,-0.14905597880092747,12344.25,0.37,0.0,200000.0,180450000.0,2175866100000,21758.66,2227519912500,22275.2
2025-10-28,12058,12067,12019,12062,1312483,0.03317299718029524,12433.03,-0.31,0.0,1050000.0,180250000.0,2174175500000,21741.76,2241053657500,22410.54
2025-10-29,12048,12053,11966,11966,1535508,-0.7958879124523297,12301.19,-0.05,200000.0,50000.0,179200000.0,2144307200000,21443.07,2204373248000,22043.73
2025-10-30,11863,11863,11798,11838,1825601,-1.0696974761825173,12136.62,-0.01,0.0,0.0,179350000.0,2123145300000,21231.45,2176702797000,21767.03
2025-10-31,11833,11833,11768,11778,1303651,-0.5068423720223011,12089.27,-0.12,0.0,400000.0,179350000.0,2112384300000,21123.84,2168210574500,21682.11
2025-11-03,11813,11878,11808,11833,1751964,0.4669723212769571,12144.68,-0.12,0.0,0.0,178950000.0,2117515350000,21175.15,2173290486000,21732.9
2025-11-04,11788,11793,11731,11764,1419911,-0.5831150173244317,12109.06,-0.41,50000.0,0.0,178950000.0,2105167800000,21051.68,2166916287000,21669.16
2025-11-05,11788,11878,11788,11878,2230113,0.9690581434886093,12180.92,-0.05,50000.0,300000.0,179000000.0,2126162000000,21261.62,2180384680000,21803.85
2025-11-06,11878,11931,11878,11926,970565,0.40410843576359656,12240.75,-0.13,0.0,0.0,178750000.0,2131772500000,21317.72,2188034062500,21880.34
2025-11-07,11926,11991,11903,11991,1527482,0.5450276706355861,12285.44,0.04,0.0,550000.0,178750000.0,2143391250000,21433.91,2196022400000,21960.22
2025-11-10,12068,12087,12010,12010,1275892,0.15845217246268034,12341.96,-0.26,0.0,50000.0,178200000.0,2140182000000,21401.82,2199337272000,21993.37
2025-11-11,12073,12155,12063,12131,1731821,1.0074937552039966,12453.15,-0.15,0.0,450000.0,178150000.0,2161137650000,21611.38,2218528672500,22185.29
2025-11-12,12272,12347,12272,12317,1783900,1.533261891022999,12663.57,-0.3,0.0,0.0,177700000.0,2188730900000,21887.31,2250316389000,22503.16
2025-11-13,12352,12443,12347,12371,1308043,0.43841844605017455,12690.98,-0.09,0.0,150000.0,177700000.0,2198326700000,21983.27,2255187146000,22551.87
