일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2026-08-12,100550,104990,100240,103250,15084783,4.0145066236840785,103464.35,-0.21,2200000.0,350000.0,233600000.0,24119200000000,241192.0,24169272160000,241692.72
2026-08-13,107030,108930,106440,107270,18227047,3.8934624697336564,107650.84,-0.35,1000000.0,200000.0,235450000.0,25256721500000,252567.22,25346390278000,253463.9
2026-08-14,110220,110800,108145,110060,17088038,2.6009135825487086,110371.9,-0.28,100000.0,200000.0,236250000.0,26001675000000,260016.75,26075361375000,260753.61
2026-08-18,113010,114710,107220,108550,20274228,-1.3719789205887698,108739.54,-0.17,150000.0,550000.0,236150000.0,25634082500000,256340.82,25678842371000,256788.42
2026-08-19,102635,104040,100655,101760,20456444,-6.255181943804698,101776.61,-0.02,100000.0,700000.0,235750000.0,23989920000000,239899.2,23993835807500,239938.36
2026-08-20,104975,109380,103660,108190,33024560,6.318789308176101,108657.77,-0.43,150000.0,850000.0,235150000.0,25440878500000,254408.78,25550874615500,255508.75
2026-08-21,106835,110860,106460,109980,33240038,1.654496718735558,110190.81,-0.19,1800000.0,900000.0,234450000.0,25784811000000,257848.11,25834235404500,258342.35
2026-08-24,109495,109500,105290,105995,16347489,-3.623386070194581,105942.72,0.05,1350000.0,4350000.0,235350000.0,24945923250000,249459.23,24933619152000,249336.19
2026-08-25,103035,106795,101105,106795,18853969,0.7547525826689938,106628.26,0.16,3650000.0,4250000.0,232350000.0,24813818250000,248138.18,24775076211000,247750.76
2026-08-26,106350,109120,105850,107710,20485425,0.8567816845357928,107680.57,0.03,1800000.0,0.0,231750000.0,24961792500000,249617.92,24954972097500,249549.72
2026-08-27,110900,110910,108195,109135,18603034,1.3229969362176215,109431.83,-0.27,850000.0,650000.0,233550000.0,25488479250000,254884.79,25557803896500,255578.04
2026-08-28,108045,109270,107050,107180,21388836,-1.7913593256059008,107156.45,0.02,650000.0,1850000.0,233750000.0,25053325000000,250533.25,25047820187500,250478.2
2026-08-31,104455,107615,103015,107615,20845744,0.4058593021086024,107762.92,-0.14,650000.0,900000.0,232550000.0,25025868250000,250258.68,25060267046000,250602.67
2026-09-01,106630,108415,106090,107885,21997851,0.2508943920457185,108117.2,-0.21,1450000.0,450000.0,232300000.0,25061685500000,250616.86,25115625560000,251156.26
2026-09-02,104525,105675,103485,103500,21280421,-4.064513138990592,103712.16,-0.2,350000.0,1250000.0,233300000.0,24146550000000,241465.5,24196046928000,241960.47
2026-09-03,104920,105550,100000,103610,26133074,0.10628019323671498,103846.89,-0.23,1150000.0,1250000.0,232400000.0,24078964000000,240789.64,24134017236000,241340.17
2026-09-04,105005,106785,104705,105720,20998563,2.036482964964772,105733.6,-0.01,850000.0,1400000.0,232300000.0,24558756000000,245587.56,24561915280000,245619.15
2026-09-07,109500,110875,108825,110820,18578602,4.824063564131668,111120.62,-0.27,1350000.0,900000.0,231750000.0,25682535000000,256825.35,25752203685000,257522.04
2026-09-08,111860,114260,110320,110335,28659671,-0.43764663418155564,110604.2,-0.24,800000.0,550000.0,232200000.0,25619787000000,256197.87,25682295240000,256822.95
2026-09-09,110640,113260,110550,112100,24388329,1.5996737209407714,112064.88,0.03,900000.0,1350000.0,232450000.0,26057645000000,260576.45,26049481356000,260494.81
2026-09-10,111815,112405,109350,111865,24523748,-0.2096342551293488,111808.68,0.05,1050000.0,2150000.0,232000000.0,25952680000000,259526.8,25939613760000,259396.14
2026-09-11,107720,110210,107565,109500,24657356,-2.1141554552362223,109608.14,-0.1,0.0,0.0,230900000.0,25283550000000,252835.5,25308519526000,253085.2
